Issue,Date,Red Balls,Blue Ball,Sales,Prize Pool,1st Prize Winners,1st Prize Amount
2024074,2024-06-30(日),7:8:10:22:24:32:7,5,7000481,90,138922,"375,016,018","2,356,767,829",详情
2024073,2024-06-27(四),3:9:12:18:28:30:1,4,9082052,288,70868,"351,823,400","2,354,261,205",详情
2024072,2024-06-25(二),1:14:20:21:23:27:6,0,0,96,261609,"342,963,952","2,329,358,625",详情
2024071,2024-06-23(日),2:8:19:28:30:31:14,11,7052822,130,217125,"377,739,850","2,254,015,200",详情
2024070,2024-06-20(四),4:13:18:20:22:28:5,8,7511573,95,264376,"355,743,106","2,246,917,307",详情
2024069,2024-06-18(二),6:13:20:21:24:32:6,12,6305244,121,161807,"349,312,006","2,231,662,700",详情
2024068,2024-06-16(日),1:2:7:19:20:21:1,25,5502857,190,82706,"382,798,116","2,248,589,639",详情
2024067,2024-06-13(四),1:11:13:17:25:29:3,7,7877684,100,251797,"359,572,106","2,339,018,162",详情
2024066,2024-06-11(二),8:9:12:22:26:32:13,16,6258377,168,149806,"348,630,430","2,318,622,744",详情
2024065,2024-06-09(日),3:5:9:10:19:22:14,10,7097933,236,111119,"373,231,796","2,343,254,145",详情
2024064,2024-06-06(四),6:8:17:18:28:30:5,21,5627014,277,59419,"365,056,746","2,335,560,971",详情
2024063,2024-06-04(二),7:14:16:23:28:32:4,10,6922247,245,98073,"362,508,790","2,404,350,858",详情
2024062,2024-06-02(日),1:7:10:16:18:27:16,5,9564773,90,316998,"390,275,626","2,401,489,046",详情
2024061,2024-05-30(四),1:9:18:22:25:28:2,4,10000000,143,179800,"364,421,040","2,363,723,406",详情
2024060,2024-05-28(二),1:2:6:10:22:28:15,9,7094190,122,193111,"358,843,202","2,326,589,163",详情
2024059,2024-05-26(日),1:3:14:25:31:33:7,6,8225609,137,176584,"390,426,128","2,319,757,937",详情
2024058,2024-05-23(四),8:12:13:17:27:29:13,2,10000000,84,303075,"369,285,740","2,296,535,377",详情
2024057,2024-05-21(二),3:8:17:18:23:31:8,18,5596329,384,34941,"365,625,592","2,240,160,236",详情
2024056,2024-05-19(日),5:18:20:24:25:26:6,6,7990254,97,231205,"397,159,810","2,300,641,915",详情
2024055,2024-05-16(四),2:4:6:7:16:29:3,1,10000000,144,208688,"377,710,122","2,281,302,712",详情
2024054,2024-05-14(二),8:13:20:25:31:32:3,5,9020570,242,103837,"367,543,408","2,201,149,174",详情
2024053,2024-05-12(日),7:14:21:22:28:33:7,14,5987819,220,78576,"395,915,432","2,170,866,334",详情
2024052,2024-05-09(四),7:10:11:15:17:21:3,6,8321035,131,190135,"373,167,274","2,202,835,275",详情
